,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
41696,2018-07-06,Uruguay,France,0.0,2.0,FIFA World Cup,Nizhny Novgorod,Russia,True
41697,2018-07-06,Brazil,Belgium,1.0,2.0,FIFA World Cup,Kazan,Russia,True
41698,2018-07-07,Sweden,England,0.0,2.0,FIFA World Cup,Samara,Russia,True
41700,2018-07-10,France,Belgium,1.0,0.0,FIFA World Cup,Saint Petersburg,Russia,True
41701,2018-07-11,Croatia,England,2.0,1.0,FIFA World Cup,Moscow,Russia,True
41702,2018-07-14,Belgium,England,2.0,0.0,FIFA World Cup,Saint Petersburg,Russia,True
41703,2018-07-15,France,Croatia,4.0,2.0,FIFA World Cup,Moscow,Russia,True
41731,2018-09-06,Germany,France,0.0,0.0,UEFA Nations League,Munich,Germany,False
41734,2018-09-06,Norway,Cyprus,2.0,0.0,UEFA Nations League,Oslo,Norway,False
41745,2018-09-06,Portugal,Croatia,1.0,1.0,Friendly,Faro-Loulé,Portugal,False
41761,2018-09-07,Argentina,Guatemala,3.0,0.0,Friendly,Los Angeles,United States,True
41767,2018-09-07,Scotland,Belgium,0.0,4.0,Friendly,Glasgow,Scotland,False
41769,2018-09-07,United States,Brazil,0.0,2.0,Friendly,East Rutherford,United States,False
41770,2018-09-07,Venezuela,Colombia,1.0,2.0,Friendly,Miami Gardens,United States,True
41775,2018-09-08,Switzerland,Iceland,6.0,0.0,UEFA Nations League,St. Gallen,Switzerland,False
41776,2018-09-08,England,Spain,1.0,2.0,UEFA Nations League,London,England,False
41789,2018-09-08,Egypt,Niger,6.0,0.0,African Cup of Nations qualification,Alexandria,Egypt,False
41797,2018-09-08,Morocco,Malawi,3.0,0.0,African Cup of Nations qualification,Casablanca,Morocco,False
41801,2018-09-09,France,Netherlands,2.0,1.0,UEFA Nations League,Paris,France,False
41804,2018-09-09,Bulgaria,Norway,1.0,0.0,UEFA Nations League,Sofia,Bulgaria,False
41827,2018-09-10,Portugal,Italy,1.0,0.0,UEFA Nations League,Lisbon,Portugal,False
41843,2018-09-11,Iceland,Belgium,0.0,3.0,UEFA Nations League,Reykjavík,Iceland,False
41844,2018-09-11,Spain,Croatia,6.0,0.0,UEFA Nations League,Elche,Spain,False
41850,2018-09-11,Colombia,Argentina,0.0,0.0,Friendly,East Rutherford,United States,True
41852,2018-09-11,England,Switzerland,1.0,0.0,Friendly,London,England,False
41866,2018-09-11,United States,Mexico,1.0,0.0,Friendly,Nashville,United States,False
41880,2018-10-11,Poland,Portugal,2.0,3.0,UEFA Nations League,Chorzów,Poland,False
41887,2018-10-11,Argentina,Iraq,4.0,0.0,Friendly,Riyadh,Saudi Arabia,True
41889,2018-10-11,France,Iceland,2.0,2.0,Friendly,Guingamp,France,False
41895,2018-10-11,United States,Colombia,2.0,4.0,Friendly,Tampa,United States,False
41896,2018-10-11,Wales,Spain,1.0,4.0,Friendly,Cardiff,Wales,False
41899,2018-10-12,Belgium,Switzerland,2.0,1.0,UEFA Nations League,Brussels,Belgium,False
41900,2018-10-12,Croatia,England,0.0,0.0,UEFA Nations League,Rijeka,Croatia,False
41919,2018-10-12,Egypt,Eswatini,4.0,1.0,African Cup of Nations qualification,Cairo,Egypt,False
41933,2018-10-13,Norway,Slovenia,1.0,0.0,UEFA Nations League,Oslo,Norway,False
41950,2018-10-13,Morocco,Comoros,1.0,0.0,African Cup of Nations qualification,Casablanca,Morocco,False
41964,2018-10-14,Scotland,Portugal,1.0,3.0,Friendly,Glasgow,Scotland,False
41972,2018-10-15,Iceland,Switzerland,1.0,2.0,UEFA Nations League,Reykjavík,Iceland,False
41973,2018-10-15,Spain,England,2.0,3.0,UEFA Nations League,Seville,Spain,False
41982,2018-10-16,France,Germany,2.0,1.0,UEFA Nations League,Paris,France,False
41985,2018-10-16,Norway,Bulgaria,1.0,0.0,UEFA Nations League,Oslo,Norway,False
41992,2018-10-16,Belgium,Netherlands,1.0,1.0,Friendly,Brussels,Belgium,False
41995,2018-10-16,Colombia,Costa Rica,3.0,1.0,Friendly,Harrison,United States,True
42007,2018-10-16,United States,Peru,1.0,1.0,Friendly,East Hartford,United States,False
42017,2018-10-16,Eswatini,Egypt,0.0,2.0,African Cup of Nations qualification,Manzini,Eswatini,False
42019,2018-10-16,Argentina,Brazil,0.0,1.0,Superclásico de las Américas,Jeddah,Saudi Arabia,True
42025,2018-10-16,Comoros,Morocco,2.0,2.0,African Cup of Nations qualification,Mitsamiouli,Comoros,False
42049,2018-11-14,Switzerland,Qatar,0.0,1.0,Friendly,Lugano,Switzerland,False
